"","year","WesternMojave","ColoradoDesert","EasternMojave","NortheasternMojave"
"1",1,0.0137034291340343,0.0670840571098859,4.44089209850063e-16,-0.0180334716600886
"2",2,0.0126294185139224,0.0584292655522463,3.33066907387547e-16,-0.0166408556693416
"3",3,0.0115554078938106,0.0497744739946068,3.33066907387547e-16,-0.0152482396785945
"4",4,0.0104813972736987,0.0411196824369672,3.33066907387547e-16,-0.0138556236878475
"5",5,0.00940738665358686,0.0324648908793276,2.22044604925031e-16,-0.0124630076971004
"6",6,0.008333376033475,0.0238100993216881,2.22044604925031e-16,-0.0110703917063534
"7",7,0.00725936541336313,0.0151553077640486,2.22044604925031e-16,-0.00967777571560632
"8",8,0.0061853547932513,0.00650051620640896,1.11022302462516e-16,-0.00828515972485927
"9",9,0.00511134417313943,-0.00215427535123064,1.11022302462516e-16,-0.00689254373411222
"10",10,0.00403733355302757,-0.0108090669088702,0,-0.00549992774336516
"11",11,0.0029633229329157,-0.0194638584665097,0,-0.00410731175261811
"12",12,0.00188931231280384,-0.0281186500241493,0,-0.00271469576187103
"13",13,0.000815301692691998,-0.0367734415817889,-1.11022302462516e-16,-0.001322079771124
"14",14,-0.000258708927419866,-0.0454282331394284,-1.11022302462516e-16,7.05362196230797e-05
"15",15,-0.00133271954753173,-0.054083024697068,-1.11022302462516e-16,0.00146315221037011
"16",16,-0.0024067301676436,-0.0627378162547076,-2.22044604925031e-16,0.00285576820111719
"17",17,-0.00348074078775546,-0.0713926078123472,-2.22044604925031e-16,0.00424838419186424
"18",18,-0.0045547514078673,-0.0800473993699868,-2.22044604925031e-16,0.00564100018261129
"19",19,-0.00562876202797916,-0.0887021909276263,-3.33066907387547e-16,0.00703361617335835
"20",20,-0.00670277264809103,-0.0973569824852659,-3.33066907387547e-16,0.0084262321641054
"21",21,-0.00777678326820289,-0.106011774042905,-3.33066907387547e-16,0.00981884815485246
"22",22,-0.00885079388831476,-0.114666565600545,-4.44089209850063e-16,0.0112114641455995
"23",23,-0.00992480450842662,-0.123321357158185,-4.44089209850063e-16,0.0126040801363466
"24",24,-0.0109988151285385,-0.131976148715824,-4.44089209850063e-16,0.0139966961270936
