"ru","SlopeTortoise","InterceptTortoise","SlopeRaven","InterceptRaven","TxR"
"WesternMojave",-0.096464203354743,1.02706004748285,0.0193039219284338,-0.235004266954844,-0.00186213745044852
"ColoradoDesert",-0.0376234413270271,0.483974267979486,0.0169350710546577,-0.206166082404528,-0.000637155652193947
"EasternMojave",-0.0264999736658607,0.257933077014378,-0.0402183184335327,0.489614311364747,0.00106578437937382
"NortheasternMojave",0.0371506344291979,-0.46172931362003,-0.00650503073596039,0.0791916785247361,-0.00024166601882236
