FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,BBSRTSL020,ARC_LENGTH,RTENO,RTENAME,RTELENG,Shape_Leng,x,y
191.000000000000000,190.000000000000000,0.000000000000000,0.000000000000000,0.405620000000000,108.000000000000000,41889.599999999998545,6106.000000000000000,WILLOW BEACH,41889.599999999998545,0.405620016775000,-114.536895482000006,35.909044756299998
202.000000000000000,207.000000000000000,0.000000000000000,0.000000000000000,0.248140000000000,112.000000000000000,27069.599999999998545,6057.000000000000000,ANTARES,27069.599999999998545,0.248144344248000,-113.859207757999997,35.523777784799996
211.000000000000000,213.000000000000000,0.000000000000000,0.000000000000000,0.417840000000000,119.000000000000000,40848.000000000000000,6056.000000000000000,RIVIERA,40848.000000000000000,0.417842785035000,-114.407286553000006,35.062645047499998
218.000000000000000,214.000000000000000,0.000000000000000,0.000000000000000,0.385450000000000,120.000000000000000,39724.500000000000000,6012.000000000000000,OATMAN,39724.500000000000000,0.385454156874000,-114.443808306999998,34.901384027100001
233.000000000000000,226.000000000000000,0.000000000000000,0.000000000000000,0.382630000000000,123.000000000000000,39616.900000000001455,6013.000000000000000,WIKIEUP,39616.900000000001455,0.283292413957000,-113.833126684000007,34.622471742700000
648.000000000000000,640.000000000000000,0.000000000000000,0.000000000000000,0.413720000000000,234.000000000000000,43720.800000000002910,14029.000000000000000,UBEHEBE,43720.800000000002910,0.413717311645000,-117.502220003999994,36.876128776100003
668.000000000000000,657.000000000000000,0.000000000000000,0.000000000000000,0.434610000000000,235.000000000000000,44137.900000000001455,14030.000000000000000,HAIWEE RES,44137.900000000001455,0.434608749714000,-117.926716416999994,36.292632086600001
674.000000000000000,661.000000000000000,0.000000000000000,0.000000000000000,0.445170000000000,236.000000000000000,46166.300000000002910,14031.000000000000000,WILDROSE,46166.300000000002910,0.445168193936000,-117.176022329999995,36.368892141600000
721.000000000000000,704.000000000000000,0.000000000000000,0.000000000000000,0.416720000000000,240.000000000000000,43865.199999999997090,14035.000000000000000,CALIF CITY,43865.199999999997090,0.416724600973000,-117.957175110999998,35.237484071799997
740.000000000000000,725.000000000000000,0.000000000000000,0.000000000000000,0.406410000000000,241.000000000000000,43774.699999999997090,14036.000000000000000,GOLDSTONE,43774.699999999997090,0.406405662575000,-116.959149535999998,35.142650888100000
731.000000000000000,732.000000000000000,0.000000000000000,0.000000000000000,0.444290000000000,242.000000000000000,45017.599999999998545,14037.000000000000000,VALLEY WELLS,45017.599999999998545,0.444290180113000,-115.810077637999996,35.474325529100000
722.000000000000000,723.000000000000000,0.000000000000000,0.000000000000000,0.457210000000000,247.000000000000000,43697.400000000001455,14040.000000000000000,WILLOW SPGS,43697.400000000001455,0.457209202567000,-118.368406609000004,34.910954263400001
