CO|REG|A0001100|1000926|97127|T|33|34|16.0|N|120856.0|85|50|42.0|W|309042.0||
CO|REG|A0001126|1000946|97129|T|31|45|37.0|N|114337.0|85|53|24.0|W|309204.0||
CO|REG|A0001146|1000959|97133|T|26|12|10.0|N|94330.0|80|9|23.0|W|288563.0||
CO|REG|A0001147|1000960|97134|T|26|15|0.0|N|94500.0|80|7|19.0|W|288439.0||
CO|REG|A0001148|1000961|97135|T|27|14|46.0|N|98086.0|80|47|40.0|W|290860.0||
CO|REG|A0001149|1000962|97136|T|24|58|46.0|N|89926.0|80|33|3.0|W|289983.0||
CO|REG|A0001156|1000969|97137|T|35|37|43.0|N|128263.0|97|14|17.0|W|350057.0||
CO|REG|A0001168|1000981|97138|T|35|36|35.0|N|128195.0|97|20|30.0|W|350430.0||
CO|REG|A0001286|1001083|97155|T|42|20|50.0|N|152450.0|84|25|14.0|W|303914.0||
CO|REG|A0476827|1001109|97161|T|37|6|48.0|N|133608.0|121|50|13.0|W|438613.0||
CO|REG|A0001320|1001113|97164|T|37|15|1.0|N|134101.0|121|54|44.0|W|438884.0||
CO|REG|A0001329|1001120|97167|T|36|12|35.0|N|130355.0|119|19|30.0|W|429570.0||
CO|REG|A0001335|1001124|97169|T|37|37|0.0|N|135420.0|97|20|13.0|W|350413.0||
CO|REG|A0001349|1001134|97171|T|33|20|0.0|N|120000.0|112|3|52.0|W|403432.0||
CO|REG|A0001364|1001144|97176|T|21|25|57.0|N|77157.0|157|49|36.0|W|568176.0||
CO|REG|A0001366|1001145|97177|T|21|24|3.0|N|77043.0|157|46|58.0|W|568018.0||
CO|REG|A0001390|1001164|97183|T|47|57|33.0|N|172653.0|97|2|39.0|W|349359.0||
CO|REG|A0001422|1001189|97191|T|43|0|1.0|N|154801.0|83|44|54.0|W|301494.0||
CO|REG|A0001442|1001204|97196|T|42|23|9.0|N|152589.0|83|30|13.0|W|300613.0||
CO|REG|A0001459|1001214|97203|T|42|40|33.0|N|153633.0|82|48|56.0|W|298136.0||
CO|REG|A0001461|1001215|97204|T|42|34|44.0|N|153284.0|83|6|35.0|W|299195.0||
CO|REG|A0001464|1001217|97205|T|42|34|17.0|N|153257.0|83|2|49.0|W|298969.0||
CO|REG|A0001471|1001222|97208|T|42|35|40.0|N|153340.0|83|30|9.0|W|300609.0||
CO|REG|A0001473|1001223|97209|T|42|39|38.0|N|153578.0|83|32|12.0|W|300732.0||
CO|REG|A0001477|1001225|97211|T|42|42|52.0|N|153772.0|83|13|8.0|W|299588.0||
CO|REG|A0001666|1001561|97244|T|26|11|55.0|N|94315.0|98|13|45.0|W|353625.0||
CO|REG|A0001679|1001572|97245|T|30|30|30.0|N|109830.0|90|29|23.0|W|325763.0||
CO|REG|A0001682|1001575|97246|T|30|17|22.0|N|109042.0|92|57|40.0|W|334660.0||
CO|REG|A0001683|1001576|97247|T|32|33|53.0|N|117233.0|92|36|15.0|W|333375.0||
CO|REG|A0001693|1001586|97248|T|38|46|42.0|N|139602.0|90|21|52.0|W|325312.0||
CO|REG|A0001694|1001587|97249|T|38|42|27.0|N|139347.0|90|22|13.0|W|325333.0||
CO|REG|A0001749|1001629|97261|T|33|47|56.0|N|121676.0|84|22|19.0|W|303739.0||
CO|REG|A0001750|1001630|97262|T|33|46|5.0|N|121565.0|84|21|3.0|W|303663.0||
CO|REG|A0001829|1001705|97267|T|32|2|58.0|N|115378.0|93|38|55.0|W|337135.0||
CO|REG|A0001838|1001711|97268|T|45|6|16.0|N|162376.0|93|23|55.0|W|336235.0||
CO|REG|A0235542|1001714|97269|T|29|23|2.0|N|105782.0|98|27|21.0|W|354441.0||
CO|REG|A0001843|1001715|97270|T|29|44|2.0|N|107042.0|98|7|53.0|W|353273.0||
CO|REG|A0001885|1001752|97276|T|34|57|4.0|N|125824.0|91|38|6.0|W|329886.0||
CO|REG|A0001896|1001761|97278|T|37|20|22.0|N|134422.0|77|30|36.0|W|279036.0||
CO|REG|A0001911|1001773|97281|T|38|21|41.0|N|138101.0|98|10|11.0|W|353411.0||
CO|REG|A0001918|1001780|97282|T|41|5|58.0|N|147958.0|81|25|41.0|W|293141.0||
CO|REG|A0001922|1001784|97283|T|32|4|47.0|N|115487.0|96|26|37.0|W|347197.0||
CO|REG|A0001923|1001785|97284|T|30|41|19.0|N|110479.0|96|25|36.0|W|347136.0||
CO|REG|A0001934|1001794|97287|T|32|28|41.0|N|116921.0|97|16|50.0|W|350210.0||
CO|REG|A0001939|1001799|97288|T|35|7|55.0|N|126475.0|107|53|17.0|W|388397.0||
CO|REG|A0001994|1001832|97300|T|29|37|31.0|N|106651.0|97|45|30.0|W|351930.0||
CO|REG|A0002002|1001839|97302|T|35|23|14.0|N|127394.0|118|55|54.0|W|428154.0||
CO|REG|A0002003|1001840|97303|T|35|21|50.0|N|127310.0|119|5|33.0|W|428733.0||
CO|REG|A0002004|1001841|97304|T|35|23|49.0|N|127429.0|119|5|47.0|W|428747.0||
CO|REG|A0002008|1001843|97306|T|35|25|33.0|N|127533.0|117|57|38.0|W|424658.0||
CO|REG|A0002033|1001865|97310|T|37|23|48.0|N|134628.0|120|27|36.0|W|433656.0||
CO|REG|A0002058|1001888|97312|T|38|0|21.0|N|136821.0|122|13|59.0|W|440039.0||
CO|REG|A0002060|1001890|97313|T|27|53|42.0|N|100422.0|80|36|55.0|W|290215.0||
CO|REG|A0002062|1001891|97314|T|28|45|8.0|N|103508.0|80|52|18.0|W|291138.0||
CO|REG|A0002064|1001892|97315|T|28|19|12.0|N|101952.0|82|31|5.0|W|297065.0||
CO|REG|A0002086|1001911|97318|T|29|50|41.0|N|107441.0|94|59|1.0|W|341941.0||
CO|REG|A0002091|1001915|97320|T|38|28|12.0|N|138492.0|121|30|36.0|W|437436.0||
CO|REG|A0002099|1001920|97323|T|39|51|58.0|N|143518.0|86|16|31.0|W|310591.0||
CO|REG|A0002112|1001932|97324|T|33|31|31.0|N|120691.0|112|10|23.0|W|403823.0||
CO|REG|A0002116|1001935|97325|T|33|31|49.0|N|120709.0|111|58|22.0|W|403102.0||
CO|REG|A0002148|1001961|97331|T|35|24|19.0|N|127459.0|97|17|46.0|W|350266.0||
CO|REG|A0002166|1001976|97334|T|38|9|12.0|N|137352.0|85|42|21.0|W|308541.0||
CO|REG|A0002178|1001985|97338|T|37|36|58.0|N|135418.0|122|25|23.0|W|440723.0||
CO|REG|A0002187|1001991|97342|T|29|36|21.0|N|106581.0|97|57|25.0|W|352645.0||
CO|REG|A0002188|1001992|97343|T|29|24|33.0|N|105873.0|98|34|38.0|W|354878.0||
CO|REG|A0002189|1001993|97344|T|29|21|19.0|N|105679.0|98|26|0.0|W|354360.0||
CO|REG|A0002193|1001996|97345|T|33|19|53.0|N|119993.0|112|3|50.0|W|403430.0||
CO|REG|A0002197|1002000|97346|T|33|25|30.0|N|120330.0|112|5|44.0|W|403544.0||
CO|REG|A0002199|1002002|97347|T|34|57|47.0|N|125867.0|90|59|48.0|W|327588.0||
CO|REG|A0002206|1002007|97348|T|33|12|57.0|N|119577.0|86|48|16.0|W|312496.0||
CO|REG|A0002224|1002020|97349|T|33|41|25.0|N|121285.0|86|58|30.0|W|313110.0||
CO|REG|A0002230|1002025|97350|T|32|41|19.0|N|117679.0|89|49|3.0|W|323343.0||
CO|REG|A0002238|1002033|97351|T|43|3|38.0|N|155018.0|92|44|51.0|W|333891.0||
CO|REG|A0002253|1002046|97353|T|32|5|4.0|N|115504.0|91|41|37.0|W|330097.0||
CO|REG|A0002256|1002049|97354|T|30|17|22.0|N|109042.0|92|57|40.0|W|334660.0||
CO|REG|A0002260|1002052|97355|T|30|27|47.0|N|109667.0|91|6|25.0|W|327985.0||
CO|REG|A0002264|1002055|97356|T|30|3|51.0|N|108231.0|90|30|3.0|W|325803.0||
CO|REG|A0002266|1002057|97357|T|30|19|9.0|N|109149.0|90|47|21.0|W|326841.0||
CO|REG|A0002296|1002085|97358|T|38|57|14.0|N|140234.0|95|16|12.0|W|342972.0||
CO|REG|A0002391|1002167|97372|T|35|58|18.0|N|129498.0|78|57|33.0|W|284253.0||
CO|REG|A0002393|1002168|97373|T|35|41|22.0|N|128482.0|78|51|25.0|W|283885.0||
CO|REG|A0002397|1002172|97374|T|47|52|58.0|N|172378.0|110|44|11.0|W|398651.0||
CO|REG|A0002398|1002173|97375|T|48|12|0.0|N|173520.0|104|31|40.0|W|376300.0||
CO|REG|A0002401|1002175|97377|T|47|32|24.0|N|171144.0|111|17|0.0|W|400620.0||
CO|REG|A0002402|1002176|97378|T|47|46|25.0|N|171985.0|114|16|7.0|W|411367.0||
CO|REG|A0002403|1002177|97379|T|21|25|57.0|N|77157.0|157|49|36.0|W|568176.0||
CO|REG|A0002418|1002187|97384|T|36|3|35.0|N|129815.0|91|36|11.0|W|329771.0||
CO|REG|A0002430|1002198|97386|T|37|19|32.0|N|134372.0|97|21|1.0|W|350461.0||
CO|REG|A0002433|1002201|97387|T|38|54|0.0|N|140040.0|95|20|3.0|W|343203.0||
CO|REG|A0002436|1002204|97388|T|39|8|35.0|N|140915.0|94|14|36.0|W|339276.0||
CO|REG|A0002437|1002205|97389|T|38|52|15.0|N|139935.0|94|6|41.0|W|338801.0||
CO|REG|A0002438|1002206|97390|T|39|36|59.0|N|142619.0|94|48|20.0|W|341300.0||
CO|REG|A0002439|1002207|97391|T|39|2|14.0|N|140534.0|93|54|54.0|W|338094.0||
CO|REG|A0002516|1002268|97405|T|33|58|30.0|N|122310.0|117|22|44.0|W|422564.0||
CO|REG|A0002520|1002270|97407|T|33|53|42.0|N|122022.0|117|52|13.0|W|424333.0||
CO|REG|A0002521|1002271|97408|T|33|51|35.0|N|121895.0|117|49|56.0|W|424196.0||
CO|REG|A0002522|1002272|97409|T|33|49|50.0|N|121790.0|118|0|36.0|W|424836.0||
CO|REG|A0002523|1002273|97410|T|33|56|6.0|N|122166.0|117|17|27.0|W|422247.0||
CO|REG|A0002524|1002274|97411|T|33|51|28.0|N|121888.0|117|47|48.0|W|424068.0||
CO|REG|A0002525|1002275|97412|T|33|40|35.0|N|121235.0|117|57|46.0|W|424666.0||
CO|REG|A0002526|1002276|97413|T|33|24|23.0|N|120263.0|117|35|47.0|W|423347.0||
CO|REG|A0002529|1002278|97415|T|33|27|6.0|N|120426.0|117|38|34.0|W|423514.0||
CO|REG|A0002531|1002280|97416|T|33|39|29.0|N|121169.0|117|46|39.0|W|423999.0||
CO|REG|A0002532|1002281|97417|T|34|0|9.0|N|122409.0|117|21|9.0|W|422469.0||
CO|REG|A0002536|1002284|97419|T|33|39|52.0|N|121192.0|117|48|27.0|W|424107.0||
CO|REG|A0002537|1002285|97420|T|33|47|1.0|N|121621.0|117|52|44.0|W|424364.0||
CO|REG|A0002539|1002287|97421|T|33|34|3.0|N|120843.0|117|49|12.0|W|424152.0||
CO|REG|A0002540|1002288|97422|T|37|59|32.0|N|136772.0|122|6|3.0|W|439563.0||
CO|REG|A0002543|1002290|97424|T|32|55|13.0|N|118513.0|117|14|17.0|W|422057.0||
CO|REG|A0002548|1002293|97427|T|33|50|20.0|N|121820.0|116|32|44.0|W|419564.0||
CO|REG|A0002551|1002295|97429|T|33|56|13.0|N|122173.0|117|11|33.0|W|421893.0||
CO|REG|A0002554|1002297|97431|T|33|49|50.0|N|121790.0|117|54|5.0|W|424445.0||
CO|REG|A0002558|1002300|97433|T|34|3|19.0|N|122599.0|117|1|21.0|W|421281.0||
CO|REG|A0002559|1002301|97434|T|34|0|39.0|N|122439.0|117|2|22.0|W|421342.0||
CO|REG|A0002560|1002302|97435|T|33|53|25.0|N|122005.0|117|55|21.0|W|424521.0||
CO|REG|A0002561|1002303|97436|T|33|45|56.0|N|121556.0|117|47|48.0|W|424068.0||
CO|REG|A0002562|1002304|97437|T|34|3|30.0|N|122610.0|117|41|15.0|W|423675.0||
CO|REG|A0002588|1002327|97440|T|36|58|45.0|N|133125.0|82|55|20.0|W|298520.0||
CO|REG|A0002612|1002347|97443|T|29|8|13.0|N|104893.0|81|4|38.0|W|291878.0||
CO|REG|A0002623|1002355|97445|T|41|33|10.0|N|149590.0|87|47|9.0|W|316029.0||
CO|REG|A0002682|1002410|97449|T|39|50|25.0|N|143425.0|86|15|15.0|W|310515.0||
CO|REG|A0002713|1002430|97455|T|39|56|19.0|N|143779.0|82|19|39.0|W|296379.0||
CO|REG|A0002718|1002435|97456|T|41|38|45.0|N|149925.0|81|23|45.0|W|293025.0||
CO|REG|A0002719|1002436|97457|T|41|22|1.0|N|148921.0|82|15|7.0|W|296107.0||
CO|REG|A0076887|1002437|97458|T|39|42|1.0|N|142921.0|83|27|33.0|W|300453.0||
CO|REG|A0002724|1002440|97459|T|35|42|30.0|N|128550.0|82|35|58.0|W|297358.0||
CO|REG|A0002737|1002450|97463|T|39|23|10.0|N|141790.0|84|27|38.0|W|304058.0||
CO|REG|A0002770|1002476|97468|T|30|21|21.0|N|109281.0|97|42|52.0|W|351772.0||
CO|REG|A0002782|1002488|97469|T|33|43|57.0|N|121437.0|84|25|36.0|W|303936.0||
CO|REG|A0596560|1002506|97472|T|40|42|43.4|N|146563.4|74|0|47.5|W|266447.5||
CO|REG|A0002819|1002518|97473|T|25|48|30.0|N|92910.0|80|16|50.0|W|289010.0||
CO|REG|A0002820|1002519|97474|T|27|27|53.0|N|98873.0|80|55|44.0|W|291344.0||
CO|REG|A0002828|1002525|97475|T|36|24|13.0|N|131053.0|87|0|8.0|W|313208.0||
CO|REG|A0002835|1002532|97476|T|47|47|1.0|N|172021.0|122|13|10.0|W|439990.0||
CO|REG|A0002862|1002555|97481|T|42|17|31.0|N|152251.0|83|18|26.0|W|299906.0||
CO|REG|A0002865|1002557|97483|T|41|47|52.0|N|150472.0|87|43|39.0|W|315819.0||
CO|REG|A0002876|1002567|97488|T|42|19|33.0|N|152373.0|85|31|31.0|W|307891.0||
CO|REG|A0002877|1002568|97489|T|42|19|35.0|N|152375.0|85|31|29.0|W|307889.0||
CO|REG|A0002920|1002601|97496|T|45|31|21.0|N|163881.0|122|36|41.0|W|441401.0||
CO|REG|A0003009|1002682|97503|T|42|17|51.0|N|152271.0|90|11|38.0|W|324698.0||
CO|REG|A0003042|1002708|97509|T|40|29|40.0|N|145780.0|74|26|46.0|W|268006.0||
CO|REG|A0003067|1002732|97513|T|38|45|47.0|N|139547.0|90|3|39.0|W|324219.0||
CO|REG|A0003121|1002774|97523|T|36|49|36.0|N|132576.0|119|46|57.0|W|431217.0||
CO|REG|A0003123|1002776|97524|T|27|57|34.0|N|100654.0|82|45|38.0|W|297938.0||
CO|REG|A0003125|1002777|97525|T|28|9|17.0|N|101357.0|82|29|20.0|W|296960.0||
CO|REG|A0003157|1002803|97529|T|40|42|21.0|N|146541.0|82|29|14.0|W|296954.0||
CO|REG|A0003188|1002829|97535|T|32|41|5.0|N|117665.0|103|6|5.0|W|371165.0||
CO|REG|A0003208|1002848|97536|T|18|19|51.0|N|65991.0|65|40|17.0|W|236417.0||
CO|REG|A0003209|1002849|97537|T|18|27|41.0|N|66461.0|66|42|4.0|W|240124.0||
CO|REG|A0003249|1002886|97540|T|56|19|17.0|N|202757.0|133|36|50.0|W|481010.0||
CO|REG|A0003266|1002902|97542|T|39|7|0.0|N|140820.0|84|39|17.0|W|304757.0||
CO|REG|A0003277|1002913|97543|T|35|23|8.0|N|127388.0|80|42|11.0|W|290531.0||
CO|REG|A0003278|1002914|97544|T|38|33|20.0|N|138800.0|89|48|50.0|W|323330.0||
CO|REG|A0003280|1002916|97545|T|38|17|58.0|N|137878.0|90|25|19.0|W|325519.0||
CO|REG|A0003282|1002917|97546|T|38|21|24.0|N|138084.0|90|23|38.0|W|325418.0||
CO|REG|A0003309|1002940|97552|T|26|49|29.0|N|96569.0|80|32|59.0|W|289979.0||
CO|REG|A0003341|1002961|97559|T|41|23|18.0|N|148998.0|81|26|38.0|W|293198.0||
CO|REG|A0003355|1002968|97562|T|44|44|42.0|N|161082.0|84|8|15.0|W|302895.0||
CO|REG|A0003363|1002974|97564|T|35|30|31.0|N|127831.0|77|24|59.0|W|278699.0||
CO|REG|A0003401|1003005|97571|T|39|51|11.0|N|143471.0|85|59|54.0|W|309594.0||
CO|REG|A0003409|1003013|97572|T|38|38|21.0|N|139101.0|90|20|45.0|W|325245.0||
CO|REG|A0003438|1003039|97574|T|45|45|36.0|N|164736.0|108|27|4.0|W|390424.0||
CO|REG|A0003465|1003060|97580|T|28|3|30.0|N|101010.0|82|44|17.0|W|297857.0||
CO|REG|A0003468|1003063|97581|T|28|22|22.0|N|102142.0|82|40|38.0|W|297638.0||
CO|REG|A0003499|1003091|97584|T|33|47|43.0|N|121663.0|84|21|16.0|W|303676.0||
CO|REG|A0003500|1003092|97585|T|33|34|41.0|N|120881.0|84|33|17.0|W|304397.0||
CO|REG|A0003501|1003093|97586|T|33|58|36.0|N|122316.0|84|26|9.0|W|303969.0||
CO|REG|A0003502|1003094|97587|T|33|43|55.0|N|121435.0|84|20|8.0|W|303608.0||
CO|REG|A0003506|1003096|97589|T|33|54|21.0|N|122061.0|84|25|5.0|W|303905.0||
CO|REG|A0787246|1003106|97591|T|64|34|44.0|N|232484.0|149|4|48.0|W|536688.0||
CO|REG|A0003551|1003134|97596|T|41|47|17.0|N|150437.0|87|44|16.0|W|315856.0||
CO|REG|A0003599|1003179|97599|T|36|4|31.0|N|129871.0|79|47|27.0|W|287247.0||
CO|REG|A0003650|1003219|97609|T|39|55|55.0|N|143755.0|83|5|14.0|W|299114.0||
CO|REG|A0003687|1003249|97615|T|41|9|47.0|N|148187.0|111|56|22.0|W|402982.0||
CO|REG|A0003784|1003332|97627|T|36|4|56.0|N|129896.0|78|52|6.0|W|283926.0||
CO|REG|A0003786|1003334|97628|T|35|56|54.0|N|129414.0|79|5|45.0|W|284745.0||
CO|REG|A0003792|1003340|97629|T|35|55|28.0|N|129328.0|78|27|35.0|W|282455.0||
CO|REG|A0003808|1003352|97633|T|40|0|56.0|N|144056.0|74|59|23.0|W|269963.0||
CO|REG|A0003814|1003357|97635|T|39|58|47.0|N|143927.0|75|16|3.0|W|270963.0||
CO|REG|A0003819|1003361|97637|T|39|58|10.0|N|143890.0|75|9|4.0|W|270544.0||
CO|REG|A0003824|1003363|97639|T|39|59|7.0|N|143947.0|75|14|46.0|W|270886.0||
CO|REG|A0003826|1003365|97640|T|39|53|49.0|N|143629.0|75|10|29.0|W|270629.0||
CO|REG|A0003829|1003368|97641|T|36|5|39.0|N|129939.0|80|8|6.0|W|288486.0||
CO|REG|A0003832|1003371|97642|T|27|25|1.0|N|98701.0|82|27|31.0|W|296851.0||
