SC|REG|A0025672|1021492|101144|03/24/1999|3|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1075064|1021563|101151|05/30/1997|2|HIGH INTENSITY WHITE OBSTRUCTION LIGHTS.
SC|REG|A0026045|1021808|101189|06/02/1997|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0029176|1024441|101634|06/27/1997|1|DUAL; MEDIUM INTENSITY WHITE LIGHTS , DAY, AND RED LIGHTS, NIGHT.
SC|REG|A0816398|1025338|101765|07/08/1997|1|NO MARKING & LIGHTING REQUIRED PROVIDED ADJACENT 257 FOOT TOWER REMAINS
SC|REG|A0816398|1025338|101765|07/08/1997|2|MARKED & LIGHTED.
SC|REG|A0816399|1025339|101766|07/08/1997|1|NO MARKING & LIGHTING REQUIRED PROVIDED ADJACENT 257 FOOT TOWER REMAINS
SC|REG|A0816399|1025339|101766|07/08/1997|2|MARKED & LIGHTED.
SC|REG|A1232467|1027158|102042|11/02/1998|2|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1225279|1030105|102508|09/22/1997|1|NO MARKING AND LIGHTING REQUIRED PROVIDED ADJACENT 400 FOOT TOWER REMAINS
SC|REG|A1225279|1030105|102508|09/22/1997|2|MARKED AND LIGHTED.
SC|REG|A0036147|1030500|102586|09/30/1997|1|OBSTRUCTION MARKING AND LIGHTING NOT REQUIRED PROVIDED THE TALLER ADJACENT
SC|REG|A0036147|1030500|102586|09/30/1997|2|TOWER REMAINS MARKED AND LIGHTED.
SC|REG|A0592714|1032450|102927|12/08/1997|2|STRUCTURE IS VOLUNTARILY LIGHTED WITH A RED OBSTRUCTION LIGHT.
SC|REG|A0042078|1035627|103362|12/11/1997|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0490249|1038865|103808|02/02/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1180870|1039896|104077|02/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1211333|1039903|104084|02/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1211335|1039928|104098|02/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1180887|1039929|104099|02/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1327972|1039930|104100|02/06/1998|1|PARAGRAPH A MODIFIED TO ALLOW THE TOP-MOUNTED LIGHT TO BE INSTALLED 40'
SC|REG|A1327972|1039930|104100|02/06/1998|2|BELOW THE TIP OF THE APPURTENANCE, PER FAA APPROVAL.
SC|REG|A0047109|1040029|104110|01/29/1998|1|DUAL; HIGH INTENSITY WHITE LIGHTS, DAY AND RED LIGHTS, NIGHT.
SC|REG|A0047379|1040229|104146|01/30/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1232477|1040648|104197|03/14/2001|4|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0148783|1041913|104379|02/23/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0050399|1042778|104484|03/11/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0051186|1043483|104556|03/30/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1326295|1046967|105018|05/04/1998|1|DUAL; MEDIUM INTENSITY WHITE LIGHTS, DAY AND RED LIGHTS, NIGHT.
SC|REG|A1386389|1047130|105043|12/11/2014|1|The FAA has approved the absence of steady burning red obstruction (L-810) lights on this structure.  Accordingly, this tower will use red flashing lights (L-864) only.
SC|REG|A0682228|1047339|105067|09/10/2002|0|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1366443|1048182|105171|05/14/1998|0|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1339193|1048576|105216|05/27/1998|1|HIGH INTENSITY WHITE LIGHTS.
SC|REG|A1244811|1049144|105350|06/02/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1375581|1049631|105413|06/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0058812|1050005|105447|06/10/1998|1|HIGH INTENSITY WHITE LIGHTS.
SC|REG|A1385715|1050068|105450|06/11/1998|1|DUAL LIGHTING:  MEDIUM INTENSITY WHITE LIGHTS, DAY; RED LIGHTS, NIGHT.
SC|REG|A0546662|1050607|105507|06/16/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0059674|1050668|105524|06/17/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0639321|1050848|105560|06/15/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0639321|1050848|105560|11/06/1998|3|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0428979|1050851|105563|06/15/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0437821|1050853|105565|06/15/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0437821|1050853|105565|11/06/1998|3|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1232492|1053839|105884|03/09/2001|2|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1232493|1053840|105885|07/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1232499|1053846|105891|03/14/2001|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1232501|1053850|105895|07/06/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0063546|1054036|105907|07/08/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0063897|1054336|105952|07/20/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1172685|1054358|105953|07/23/1998|4|HIGH INTENSITY WHITE LIGHTS.
SC|REG|A1172685|1054358|105953|07/23/1998|6|HIGH INTENSITY WHITE LIGHTS.
SC|REG|A1375647|1057500|106321|10/22/1998|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1375649|1057790|106357|11/02/1998|1|DUAL; MEDIUM INTENSITY WHITE LIGHTS, DAY AND RED LIGHTS, NIGHT.
SC|REG|A1222791|1058024|106384|11/12/1998|1|THIS TOWER IS EXEMPT FROM MID-LEVEL OBSTRUCTION LIGHTING REQUIREMENT.
SC|REG|A1222794|1058025|106385|11/12/1998|1|THIS TOWER IS EXEMPT FROM MID-LEVEL OBSTRUCTION LIGHTING REQUIREMENT.
SC|REG|A1370646|1000404|97052|04/15/1998|2|STRUCTURE IS VOLUNTARILY LIGHTED IAW FAA CHAPTERS 4,5,13.
SC|REG|A1038356|1000553|107218|06/23/2004|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A0935878|1001556|97242|11/03/1997|4|NO MARKING AND LIGHTING REQUIRED PROVIDED TALLER ADJACENT TOWER REMAINS
SC|REG|A0935878|1001556|97242|11/03/1997|5|LIGHTED.
SC|REG|A0002623|1002355|97445|03/03/1999|2|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1341822|1002998|108892|09/26/1996|0|MEDIUM INTENSITY LIGHTS
SC|REG|A0979003|1003113|97592|05/15/1998|4|SHIELD OR ADJUST LIGHTS TO ALLEVIATE ANY ATC PROBLEMS.  NO ADDITIONAL
SC|REG|A0979003|1003113|97592|05/15/1998|5|ANTENNAS OR PARAPHERNALIA CAN BE INSTALLED WITHOUT FAA APPROVAL.
SC|REG|A1142911|1003870|97773|09/23/1998|2|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1035606|1003888|109559|10/15/1996|0|Due to the potential for obscuring the existing structure, the two
SC|REG|A1035606|1003888|109559|10/15/1996|1|structures may be obstruction marked & lighted as a single structure.
SC|REG|A1309168|1004536|110040|10/27/1996|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A0005466|1004621|110094|10/22/1996|0|RED OBSTRUCTION LIGHTS (L-810) MOUNTED BETWEEN ANTENNAS.
SC|REG|A1326998|1004624|110097|10/23/1996|0|DUAL MEDIUM INTENSITY STROBES DURING THE DAY & RED BEACONS AT NIGHT.
SC|REG|A1326999|1004625|110098|10/23/1996|0|DUAL MEDIUM INTENSITY STROBES DURING THE DAY & RED BEACONS AT NIGHT.
SC|REG|A1327000|1004626|110099|10/23/1996|0|DUAL MEDIUM INTENSITY STROBES DURING THE DAY & RED BEACONS AT NIGHT.
SC|REG|A1297754|1004727|110186|10/29/1996|0|DUAL LIGHTING; MEDIUM INTENSITY WHITE FOR DAYTIME, RED LIGHTS FOR NIGHT
SC|REG|A1293959|1004732|110191|10/29/1996|0|DUAL LIGHTING; MEDIUM INTENSITY WHITE LIGHTS FOR DAY, RED LIGHTS FOR NIGHT
SC|REG|A0664205|1005036|110468|02/06/1997|2|REGISTERED AS 1005037 AND 1005039 REMAIN PAINTED AND LIGHTED.
SC|REG|A0664207|1005038|110470|02/06/1997|2|REGISTERED AS 1005037 AND 1005039 REMAIN PAINTED AND LIGHTED.
SC|REG|A0077429|1005067|110499|10/30/1996|1|REMAINS MARKED AND LIGHTED.
SC|REG|A0077431|1005069|110501|10/30/1996|1|REMAINS MARKED AND LIGHTED.
SC|REG|A1341824|1005234|110653|11/01/1996|0|NO OM&L REQUIRED PROVIDED ADJACENT 647' TOWER REMAINS MARKED AND LIGHTED.
SC|REG|A1264612|1005296|110711|10/24/1996|0|THIS SUPERSEDES ORIGINAL REGISTRATION TO CORRECT NAD27 COORDINATES FROM
SC|REG|A1264612|1005296|110711|10/24/1996|1|42-10-27N 071-53-03W.
SC|REG|A0940680|1005491|110855|01/06/2015|0|The FAA has approved the absence of steady burning red obstruction (L-810) lights on this structure.
SC|REG|A0816061|1005494|110858|11/04/1996|0|MEDIUM INTENSITY LIGHTING
SC|REG|A1332609|1005503|110866|01/06/2015|0|The FAA has approved the absence of steady burning red obstruction (L-810) lights on this structure.
SC|REG|A0814914|1005515|110877|11/04/1996|0|MEDIUM INTENSITY LIGHTING
SC|REG|A0077721|1005644|110958|11/05/1996|0|L-810 DOUBLE FITTING RED OBSTRUCTION LIGHT ATOP STRUCTURE.
SC|REG|A1360870|1005652|110966|11/05/1996|0|DOUBLE FITTING RED OBSTRUCTION LIGHTS.
SC|REG|A1360869|1005653|110967|11/05/1996|0|INSTALL L-810 & SENSING CONTROL FOR LOW VISIBILITY CONDITIONS NEAR AIRPORT.
SC|REG|A0772005|1006036|111275|10/29/1996|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A0844264|1006045|98171|02/05/1999|5|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0905694|1006212|111408|10/29/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0907484|1006214|111410|10/29/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0907561|1006221|111417|10/29/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0907569|1006226|111422|10/29/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A1048541|1006229|111425|10/29/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A1244017|1006236|111431|10/29/1996|0|DUAL MEDIUM INTENSITY LIGHTING.
SC|REG|A0907875|1006249|111442|10/29/1996|0|DUAL MEDIUM INTENSITY LIGHTS.
SC|REG|A0907877|1006251|111444|10/29/1996|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A0907880|1006254|111447|10/29/1996|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A0908026|1006261|111453|10/29/1996|0|MEDIUM INTENSITY LIGHTS.
SC|REG|A1375242|1006293|98226|04/28/1999|1|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A0149826|1006357|111511|03/22/1999|2|HIGH INTENSITY WHITE LIGHTS.
SC|REG|A1104254|1006359|98245|07/17/1997|3|HIGH INTENSITY LIGHTING.
SC|REG|A1265859|1006418|111563|10/31/1996|0|HIGH INTENSITY LIGHTING
SC|REG|A1153363|1006520|111650|10/31/1996|0|MEDIUM INTENSITY WHITE OBSTRUCTION LIGHTING.
SC|REG|A0660179|1006572|98269|08/22/1997|1|MEDIUM INTENSITY LIGHTING.
SC|REG|A0729529|1006573|98270|08/22/1997|2|MEDIUM INTENSITY LIGHTING.
SC|REG|A1080092|1006574|98271|08/22/1997|1|MEDIUM INTENSITY LIGHTING.
SC|REG|A1075092|1006593|111712|10/31/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A1328170|1006703|111811|10/30/1996|0|HIGH INTENSITY WHITE STROBE LIGHTS.
SC|REG|A0265993|1006704|98284|10/30/1996|6|HIGH INTENSITY LIGHTING.
SC|REG|A1177738|1006705|111812|10/30/1996|0|HIGH INTENSITY WHITE STROBE LIGHTING.
SC|REG|A1115246|1006711|111818|10/30/1996|0|DUAL; HIGH INTENSITY WHITE STROBES, DAY AND RED LIGHTS, NIGHT.
SC|REG|A0007989|1006732|111835|10/30/1996|0|HIGH INTENSITY WHITE STROBE LIGHTING.
SC|REG|A0007997|1006739|111840|10/30/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0008115|1006825|111896|10/31/1996|0|MEDIUM INTENSITY WHITE LIGHTS.
SC|REG|A1327185|1006856|111923|10/31/1996|0|MEDIUM INTENSITY LIGHTS
SC|REG|A0008824|1007418|112366|11/01/1996|0|High Intensity Lighting
SC|REG|A0926770|1007456|112400|11/04/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0311499|1007457|112401|11/04/1996|0|MEDIUM INTENSITY LIGHTING.
SC|REG|A0926773|1007458|112402|11/04/1996|0|MEDIUM INTENSITY LIGHTING.
