RE|REG|A1245287|1000409|97056|FCC|12/05/1996|1|ADDED MISSING LOCATION ADDRESS PER E-MAIL FROM ESTHER HILLIARD.  CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.
RE|REG|A1153320|1000418|97058|FCC|09/12/1996|1|CORRECT OVERALL AGL HEIGHT, SUBMITTED AMSL INSTEAD OF AGL.
RE|REG|A0000530|1000419|97059|FCC|09/24/1996|1|CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL, TO MATCH FAA APPROVAL.  ADDED LOCATION ADDRESS PER LIST FEDEXED BY ESTHER HILLIARD.
RE|REG|A1369213|1000473|97064|FCC|09/16/1996|1|CORRECTED OVERALL AGL, SUBMITTED AMSL.
RE|REG|A0893571|1000487|97065|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A0893572|1000488|97066|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A0893574|1000489|97067|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A0893575|1000490|97068|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A0893576|1000491|97069|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A0893577|1000492|97070|FCC|09/16/1996|1|CLEARED STRUCTURE BASED ON NOS RECORD 33-1106, FAA STUDY 82-AEA-0912-OE.
RE|REG|A1275740|1000493|97071|FCC|09/25/2002|1|CORRECTED NAD INDICATOR AND COORDS PER LTR RECEIVED 8/15/97 FROM JERRY WHITNEY.  APPLICANT HAD INCORRECTLY CHECKED NAD83 ON ORIGINAL SUBMISSION.
RE|REG|A0907305|1000518|97072|FCC|05/13/2011|1|CLEARED SITE BASED ON OLD TOWER FILE RECORD 115820.  FAA STUDY #93-AGL-2131-OE.
RE|REG|A1298384|1000527|97073|FCC|02/21/2008|1|ADDED FAA INFO BASED ON FAA STUDY LOCATED IN FILES AND EXISTING TOWER FILE RECORD #48278.  ALTHOUGH APPLICANT INDICATED A DUAL LIGHTING SYSTEM, CURRENT FAA STUDY SHOWED MEDIUM INTENSITY AND NOS 23-0018 REFLECTED MED INT.
RE|REG|A1087350|1000529|97074|FCC|05/22/2012|1|ADDED FAA INFO BASED ON FAA STUDY LOCATED IN FILES AND EXISTING TOWER FILE RECORD #49312.  APPLICANT VERIFIED USE OF MED INT LIGHTS IN 10/29/96 E-MAIL RESPONSE.
RE|REG|A0483879|1000535|97075|FCC|02/21/2008|1|ADDED FAA INFO BASED ON FAXED COPY OF FAA DETERMINATION PROVIDED BY APPLICANT.
RE|REG|A0816017|1000545|97076|FCC|02/21/2008|1|CLEARED SITE BASED ON EXISTING TOWER FILE RECORD #49145 AND NOS RECORD 23-0057.  ALTHOUGH APPLICANT INDICATED MED INTENSITY LIGHTS THERE WAS NO RECORD OF FAA APPROVAL THEREFOR ISSUED WITH 1,3,12,21.
RE|REG|A1311688|1000550|97077|FCC|04/10/2008|1|ADDED FAA INFO BASED ON EXISTING TOWER FILE RECORD #81099.
RE|REG|A1355103|1000636|97078|FCC|10/17/1996|1|CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.  CORRECTED THE OVERALL STRUCTURE HEIGHT, SUBMITTED WITH THE AMSL.  CORRECTED MISKEYED 854 FAA STUDY NUMBER.
RE|REG|A1355103|1000636|97078|FCC|10/17/1996|2|ADDED LOCATION ADDRESS PER LIST FEDEXED BY ESTHER HILLIARD.
RE|REG|A1128157|1000637|97079|FCC|10/17/1996|1|CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.  CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.  ADDED LOCATION ADDRESS AND CHANGED CITY FROM MUENSTER PER LIST FEDEXED BY ESTHER HILLIARD.
RE|REG|A0000783|1000638|97080|FCC|03/19/2003|1|SUPERSEDED TO CORRECT LATITUDE SECONDS FROM 39.
RE|REG|A0000783|1000638|97080|FCC|03/19/2003|3|NOTE:  THE FAA/FCC EMI CONDITIONAL STATEMENT MUST BE PLACED ON THE CP/LICENSE.  ADDED LOCATION ADDRESS PER FAX FROM LANGDON HARRIS.  CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.
RE|REG|A0000783|1000638|97080|FCC|03/19/2003|4|CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.
RE|REG|A0000784|1000639|97081|FCC|01/22/1997|1|CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.  ADDED LOCATION ADDRESS AND CHANGED CITY FROM EUSTIS PER FAX.  CLEARED STRUCTURE BASED ON CLEARANCE FILE COPY.
RE|REG|A0000792|1000647|97082|FCC|10/17/1996|1|CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.  CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.  ADDED LOCATION DESCRIPTION PER TELCON WITH GEORGENE MC DONOUGH, FAA/AGL.
RE|REG|A0775827|1000648|97083|FCC|09/20/1996|1|CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE SECONDS.  ALSO COMPLETED GEOGRAPHIC LOCATION RETRIEVED FROM FED EX FROM ESTHER HILLIARD 9/19/96.
RE|REG|A0000795|1000649|97084|FCC|10/17/1996|1|CORRECTED GROUND ELEVATION, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.  CORRECTED OVERALL STRUCTURE HEIGHT, SUBMITTED WITH AMSL.  ADDED LOCATION DESCRIPTION PER TELCON WITH GEORGENE MC DONOUGH, FAA/AGL.
RE|REG|A0000796|1000650|97085|FCC|11/04/1996|1|ADDED LOCATION ADDRESS PER FAX FROM LANGDON HARRIS.  CORRECTED OVERALL STRUCTURE, SUBMITTED WITH AMSL.
